id_match,marcou_gol,sofreu_gol,kick-off,resultado,locale,jogos_cumulativos,gols_marcados,gols_sofridos,gols_marcados_acumulados,gols_sofridos_acumulados,diferença_gols_acumulados
CA1,Sim,Não,2024-01-17 21:30:00,Vitória,Casa,1,4,0,4,0,4
AM1,Sim,Não,2024-01-21 16:00:00,Vitória,Fora,2,2,0,6,0,6
CA2,Sim,Sim,2024-01-21 18:10:00,Empate,Fora,3,1,1,7,1,6
AM2,Sim,Sim,2024-01-27 16:00:00,Empate,Fora,4,1,1,8,2,6
CA3,Não,Não,2024-01-27 18:10:00,Empate,Fora,5,0,0,8,2,6
CA4,Sim,Não,2024-01-31 21:30:00,Vitória,Fora,6,2,0,10,2,8
CA5,Não,Não,2024-02-04 19:00:00,Empate,Fora,7,0,0,10,2,8
CA6,Sim,Não,2024-02-07 21:30:00,Vitória,Casa,8,1,0,11,2,9
CA7,Sim,Não,2024-02-10 16:00:00,Vitória,Casa,9,3,0,14,2,12
CA8,Sim,Não,2024-02-15 21:30:00,Vitória,Fora,10,3,0,17,2,15
CA9,Sim,Não,2024-02-21 21:30:00,Vitória,Casa,11,4,0,21,2,19
CA10,Sim,Não,2024-02-25 16:00:00,Vitória,Casa,12,2,0,23,2,21
CA11,Sim,Não,2024-03-02 16:00:00,Vitória,Casa,13,3,0,26,2,24
CA12,Sim,Não,2024-03-09 21:30:00,Vitória,Fora,14,2,0,28,2,26
CA13,Não,Não,2024-03-16 21:00:00,Empate,Casa,15,0,0,28,2,26
CA14,Sim,Não,2024-03-30 17:00:00,Vitória,Fora,16,3,0,31,2,29
LIB1,Sim,Sim,2024-04-02 19:00:00,Empate,Fora,17,1,1,32,3,29
CA15,Sim,Não,2024-04-07 17:00:00,Vitória,Casa,18,1,0,33,3,30
LIB2,Sim,Não,2024-04-10 19:00:00,Vitória,Casa,19,2,0,35,3,32
BR1,Sim,Sim,2024-04-14 16:00:00,Vitória,Fora,20,2,1,37,4,33
BR2,Sim,Sim,2024-04-17 21:30:00,Vitória,Casa,21,2,1,39,5,34
BR3,Não,Não,2024-04-21 16:00:00,Empate,Fora,22,0,0,39,5,34
LIB3,Sim,Sim,2024-04-24 21:30:00,Derrota,Fora,23,1,2,40,7,33
BR4,Não,Sim,2024-04-28 11:00:00,Derrota,Casa,24,0,2,40,9,31
CB1,Sim,Não,2024-05-01 21:30:00,Vitória,Casa,25,1,0,41,9,32
BR5,Sim,Sim,2024-05-04 18:30:00,Empate,Fora,26,1,1,42,10,32
LIB4,Não,Sim,2024-05-07 21:00:00,Derrota,Fora,27,0,1,42,11,31
BR6,Sim,Não,2024-05-11 16:00:00,Vitória,Casa,28,2,0,44,11,33
LIB5,Sim,Não,2024-05-15 21:30:00,Vitória,Casa,29,4,0,48,11,37
CB2,Sim,Não,2024-05-22 21:30:00,Vitória,Fora,30,1,0,49,11,38
LIB6,Sim,Não,2024-05-28 21:00:00,Vitória,Casa,31,3,0,52,11,41
BR7,Sim,Sim,2024-06-02 16:00:00,Vitória,Fora,32,6,1,58,12,46
